*N2O emissions output file

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 02, 2021 09:26:05

*RUN   1        : 20 IRRIG, light rate,freq CRGRO047 UFGA7801    1
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  1   : 20 IRRIG, light rate,freq CRGRO047
  
!              |---------------------------------- Cumulative ---------------------------------|---------------------------------- Daily --------------------------------------|
!               N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                           Nitrification (g[N]/ha) by soil depth (cm):                             N2O flux (g[N]/ha) by soil depth (cm):                                  N2 flux (g[N]/ha) by soil depth (cm):                                   NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS   N2OEC    N2EC    NOEC   CO2TC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC   N2OED    N2ED    NOED   CO2TD    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   
 2020 251    97    0.04    0.05    0.28     510    0.11    39.9   0.007   0.040   0.105   0.313     0.3     2.8     1.5    2561    14.6     231    0.70    0.23   13.89    4.22     3.8     3.3     1.5     0.9     0.8     0.6     0.7     1.3     1.7     31.     67.     35.     26.     25.     23.      7.      8.      8.     0.1     0.2     0.1     0.1     0.1     0.1     0.0     0.1     0.1     3.7     3.2     1.4     0.9     0.7     0.6     0.7     1.2     1.5     0.2     1.2     0.6     0.5     0.5     0.4     0.3     0.4     0.0
 2020 252    98    0.04    0.05    0.28     512    0.12    40.2   0.007   0.040   0.113   0.316     0.4     4.6     2.4    2659     9.0     245    0.48    0.25    8.55    3.48     1.7     1.5     0.7     0.4     0.4     0.6     0.7     1.4     1.8     44.     67.     35.     26.     26.     23.      8.      8.      8.     0.1     0.1     0.1     0.0     0.0     0.1     0.0     0.1     0.2     1.6     1.4     0.7     0.4     0.4     0.6     0.7     1.3     1.6     0.4     0.8     0.4     0.3     0.3     0.4     0.3     0.4     0.0
 2020 253    99    0.04    0.06    0.28     515    0.13    40.4   0.008   0.040   0.127   0.320     0.3     3.3     1.6    2353    14.2     194    0.66    0.19   13.53    3.76     1.7     3.7     2.2     1.4     1.0     0.7     0.6     1.4     1.7     27.     55.     29.     22.     22.     20.      7.      7.      8.     0.0     0.2     0.1     0.1     0.1     0.1     0.0     0.1     0.1     1.6     3.5     2.1     1.3     0.9     0.6     0.6     1.3     1.5     0.1     0.7     0.7     0.6     0.5     0.4     0.3     0.4     0.0
 2020 254   100    0.04    0.06    0.29     516    0.16    40.5   0.009   0.040   0.154   0.325     0.3     3.3     1.6    1820    29.0     130    1.41    0.13   27.56    4.72     0.4     2.2     5.1     7.5     5.5     2.5     1.4     2.2     2.1     19.     32.     18.     15.     16.     15.      5.      5.      6.     0.0     0.1     0.2     0.4     0.4     0.2     0.1     0.2     0.2     0.4     2.1     5.0     7.2     5.2     2.3     1.4     2.0     2.0     0.0     0.1     0.2     0.6     1.4     1.1     0.6     0.6     0.0
 2020 255   101    0.04    0.06    0.29     518    0.19    40.6   0.011   0.041   0.180   0.330     0.4     4.3     2.0    1465    27.0     115    1.31    0.12   25.69    5.02     0.2     1.0     2.5     4.8     5.6     3.5     2.4     3.7     3.3     19.     29.     17.     12.     12.     12.      4.      4.      5.     0.0     0.0     0.1     0.2     0.3     0.2     0.1     0.3     0.1     0.2     1.0     2.4     4.6     5.3     3.3     2.3     3.4     3.2     0.1     0.2     0.2     0.4     0.9     1.4     1.0     1.0     0.0
 2020 256   102    0.04    0.07    0.29     519    0.20    40.7   0.011   0.041   0.190   0.332     0.5     5.6     2.6    1232    10.2      97    0.40    0.10    9.84    2.44     0.1     0.4     0.9     1.6     1.8     1.2     0.9     1.6     1.7     16.     24.     14.     11.     11.     10.      3.      4.      5.     0.0     0.0     0.0     0.1     0.1     0.1     0.1     0.1     0.0     0.1     0.4     0.9     1.5     1.8     1.2     0.9     1.5     1.6     0.1     0.2     0.1     0.3     0.5     0.5     0.3     0.5     0.0
 2020 257   103    0.04    0.07    0.29     520    0.21    40.8   0.012   0.041   0.201   0.335     0.3     3.4     1.5    1107    12.0      88    0.47    0.09   11.55    2.55     0.2     0.4     0.7     1.2     1.7     1.4     1.3     2.5     2.6     11.     23.     13.     10.     10.     10.      3.      4.      5.     0.0     0.0     0.0     0.0     0.1     0.1     0.1     0.2     0.0     0.2     0.4     0.6     1.2     1.7     1.4     1.2     2.3     2.5     0.0     0.2     0.1     0.2     0.4     0.5     0.5     0.7     0.0
 2020 258   104    0.04    0.08    0.29     522    0.22    40.9   0.012   0.041   0.207   0.336     0.4     5.4     2.3    1401     6.0     113    0.21    0.11    5.79    1.69     0.1     0.2     0.3     0.6     0.8     0.7     0.6     1.3     1.4     18.     28.     16.     12.     12.     12.      4.      4.      5.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.2     0.3     0.6     0.8     0.6     0.6     1.2     1.4     0.1     0.2     0.1     0.2     0.2     0.3     0.2     0.4     0.0
 2020 259   105    0.04    0.08    0.30     524    0.22    41.1   0.012   0.041   0.212   0.338     0.5     6.6     2.8    1835     4.8     153    0.18    0.15    4.67    1.71     0.1     0.1     0.2     0.3     0.4     0.4     0.3     1.4     1.6     25.     39.     22.     17.     17.     15.      5.      5.      7.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.2     0.3     0.4     0.3     0.3     1.3     1.6     0.2     0.3     0.2     0.1     0.2     0.2     0.1     0.4     0.0
 2020 260   106    0.04    0.09    0.30     526    0.23    41.2   0.012   0.041   0.218   0.340     0.3     3.9     1.6    2059     6.4     181    0.20    0.18    6.19    1.87     0.4     0.4     0.3     0.4     0.5     0.5     0.5     1.4     2.0     25.     49.     28.     20.     20.     19.      6.      6.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.4     0.4     0.3     0.4     0.5     0.5     0.4     1.3     2.0     0.0     0.3     0.2     0.2     0.2     0.3     0.2     0.4     0.0
 2020 261   107    0.04    0.09    0.30     528    0.24    41.4   0.012   0.041   0.223   0.342     0.5     6.0     2.5    2150     5.2     200    0.17    0.20    5.06    1.93     0.2     0.2     0.2     0.2     0.2     0.2     0.4     1.5     2.1     34.     52.     30.     22.     21.     20.      6.      7.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.2     0.2     0.1     0.2     0.2     0.2     0.4     1.4     2.1     0.2     0.4     0.2     0.2     0.2     0.2     0.2     0.4     0.0
 2020 262   108    0.04    0.10    0.30     530    0.24    41.6   0.012   0.042   0.227   0.344     0.6     7.2     3.0    2125     4.7     193    0.16    0.19    4.52    1.88     0.1     0.1     0.1     0.1     0.1     0.2     0.4     1.4     2.1     33.     50.     28.     21.     21.     19.      6.      6.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.4     1.3     2.1     0.2     0.4     0.2     0.2     0.2     0.2     0.2     0.4     0.0
 2020 263   109    0.05    0.11    0.31     532    0.25    41.8   0.013   0.042   0.233   0.345     0.3     4.2     1.7    2065     5.4     180    0.15    0.18    5.24    1.61     0.5     0.4     0.2     0.2     0.2     0.2     0.3     1.2     2.1     25.     49.     28.     20.     20.     19.      6.      6.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.5     0.4     0.2     0.2     0.2     0.2     0.3     1.1     2.0     0.1     0.3     0.2     0.2     0.2     0.2     0.1     0.4     0.0
 2020 264   110    0.05    0.11    0.31     534    0.25    42.0   0.013   0.042   0.237   0.347     0.5     6.4     2.6    2103     4.6     189    0.14    0.19    4.45    1.71     0.3     0.2     0.1     0.1     0.1     0.2     0.3     1.2     2.1     32.     49.     28.     20.     20.     19.      6.      6.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.3     0.2     0.1     0.1     0.1     0.2     0.3     1.1     2.0     0.2     0.4     0.2     0.2     0.2     0.2     0.1     0.4     0.0
 2020 265   111    0.05    0.12    0.31     536    0.25    42.2   0.013   0.042   0.241   0.349     0.6     7.5     3.1    2159     4.4     194    0.14    0.19    4.24    1.78     0.2     0.1     0.1     0.1     0.1     0.2     0.3     1.2     2.1     33.     50.     29.     21.     21.     19.      6.      7.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.2     0.1     0.1     0.1     0.1     0.2     0.3     1.1     2.1     0.2     0.4     0.2     0.2     0.2     0.2     0.1     0.4     0.0
 2020 266   112    0.05    0.12    0.31     538    0.26    42.4   0.013   0.042   0.246   0.351     0.3     4.2     1.7    2163     5.2     191    0.14    0.19    5.07    1.60     0.6     0.4     0.2     0.2     0.2     0.2     0.3     1.1     2.0     26.     51.     29.     22.     21.     20.      7.      7.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.6     0.4     0.2     0.2     0.2     0.2     0.3     1.0     2.0     0.1     0.4     0.2     0.2     0.2     0.2     0.1     0.3     0.0
 2020 267   113    0.05    0.13    0.32     541    0.26    42.6   0.013   0.043   0.251   0.352     0.5     6.3     2.6    2161     4.4     203    0.13    0.20    4.27    1.73     0.3     0.2     0.1     0.1     0.1     0.2     0.3     1.1     2.0     35.     52.     30.     22.     22.     20.      7.      7.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.3     0.2     0.1     0.1     0.1     0.2     0.3     1.0     2.0     0.2     0.4     0.2     0.2     0.2     0.2     0.1     0.3     0.0
 2020 268   114    0.05    0.14    0.32     543    0.27    42.8   0.013   0.043   0.255   0.354     0.6     7.3     3.1    2291     4.1     206    0.12    0.21    4.01    1.79     0.2     0.1     0.1     0.1     0.1     0.2     0.3     1.1     2.0     35.     53.     30.     23.     22.     20.      7.      7.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.2     0.1     0.1     0.1     0.1     0.2     0.3     1.0     2.0     0.2     0.4     0.2     0.2     0.2     0.2     0.1     0.3     0.0
 2020 269   115    0.05    0.14    0.32     545    0.27    43.0   0.013   0.043   0.259   0.356     0.6     7.4     3.3    2381     4.1     219    0.13    0.22    4.02    1.91     0.1     0.1     0.1     0.1     0.1     0.2     0.3     1.1     2.1     37.     57.     32.     24.     24.     22.      7.      7.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.1     0.2     0.3     1.0     2.1     0.3     0.4     0.2     0.2     0.2     0.2     0.1     0.3     0.0
 2020 270   116    0.05    0.15    0.32     548    0.28    43.2   0.014   0.043   0.264   0.358     0.4     4.3     1.9    2346     5.8     228    0.15    0.23    5.62    1.89     0.7     0.5     0.2     0.2     0.2     0.4     0.3     1.1     2.2     36.     60.     35.     25.     25.     23.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.7     0.5     0.2     0.2     0.2     0.4     0.3     1.1     2.1     0.1     0.4     0.2     0.2     0.2     0.2     0.1     0.3     0.0
 2020 271   117    0.05    0.15    0.33     550    0.28    43.5   0.014   0.043   0.269   0.360     0.5     5.9     2.6    2557     5.1     237    0.14    0.24    4.94    2.05     0.4     0.2     0.1     0.1     0.2     0.4     0.3     1.2     2.2     40.     62.     35.     26.     26.     23.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.4     0.2     0.1     0.1     0.2     0.4     0.3     1.1     2.2     0.3     0.5     0.3     0.2     0.2     0.2     0.1     0.3     0.0
 2020 272   118    0.05    0.16    0.33     552    0.29    43.7   0.014   0.044   0.274   0.362     0.6     6.4     3.0    2379     4.6     217    0.13    0.22    4.49    1.92     0.2     0.1     0.1     0.1     0.2     0.4     0.3     1.1     2.2     36.     56.     33.     24.     24.     22.      7.      7.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.2     0.1     0.1     0.1     0.2     0.4     0.3     1.0     2.1     0.3     0.4     0.2     0.2     0.2     0.2     0.1     0.3     0.0
 2020 273   119    0.05    0.17    0.33     555    0.29    43.9   0.014   0.044   0.278   0.364     0.6     6.4     3.0    2256     4.2     192    0.12    0.19    4.12    1.73     0.1     0.1     0.1     0.1     0.2     0.3     0.3     1.0     2.1     31.     49.     29.     21.     21.     20.      7.      7.      8.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.1     0.3     0.3     1.0     2.0     0.2     0.4     0.2     0.2     0.2     0.2     0.1     0.3     0.0
 2020 274   120    0.05    0.17    0.34     557    0.30    44.1   0.014   0.044   0.282   0.365     0.5     6.0     3.0    2126     4.1     179    0.12    0.18    3.94    1.62     0.1     0.1     0.1     0.1     0.1     0.3     0.3     1.0     2.0     28.     45.     27.     20.     20.     19.      6.      6.      8.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.1     0.3     0.2     0.9     2.0     0.2     0.3     0.2     0.1     0.2     0.2     0.1     0.3     0.0
 2020 275   121    0.05    0.18    0.34     559    0.30    44.2   0.014   0.044   0.286   0.367     0.5     5.5     2.8    1959     3.8     159    0.11    0.16    3.70    1.46     0.0     0.1     0.1     0.1     0.1     0.3     0.2     1.0     1.9     25.     40.     24.     18.     18.     17.      6.      6.      7.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.1     0.1     0.1     0.1     0.3     0.2     0.9     1.9     0.2     0.3     0.2     0.1     0.1     0.2     0.1     0.3     0.0
 2020 276   122    0.05    0.18    0.34     560    0.30    44.4   0.014   0.044   0.289   0.368     0.5     5.0     2.6    1689     3.6     138    0.10    0.14    3.45    1.29     0.0     0.1     0.1     0.1     0.1     0.3     0.2     0.9     1.8     21.     34.     20.     15.     16.     15.      5.      5.      6.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.1     0.1     0.1     0.1     0.3     0.2     0.8     1.8     0.2     0.2     0.1     0.1     0.1     0.2     0.1     0.2     0.0
 2020 277   123    0.05    0.19    0.34     562    0.31    44.5   0.014   0.045   0.293   0.369     0.5     4.6     2.4    1724     3.6     145    0.11    0.14    3.50    1.34     0.0     0.1     0.1     0.1     0.1     0.3     0.2     0.9     1.8     22.     35.     22.     16.     17.     16.      5.      6.      7.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.1     0.1     0.1     0.1     0.3     0.2     0.8     1.8     0.2     0.3     0.2     0.1     0.1     0.2     0.1     0.3     0.0
 2020 278   124    0.05    0.19    0.35     564    0.31    44.7   0.014   0.045   0.296   0.371     0.4     4.3     2.3    1769     3.6     149    0.11    0.15    3.54    1.38     0.0     0.1     0.1     0.1     0.1     0.3     0.2     0.9     1.8     22.     37.     22.     17.     17.     16.      6.      6.      7.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.1     0.1     0.1     0.1     0.3     0.2     0.8     1.8     0.2     0.3     0.2     0.1     0.1     0.2     0.1     0.3     0.0
 2020 279   125    0.05    0.20    0.35     566    0.31    44.8   0.015   0.045   0.300   0.372     0.4     4.1     2.2    1676     3.6     147    0.11    0.15    3.51    1.36     0.0     0.1     0.1     0.1     0.1     0.3     0.2     0.9     1.8     22.     36.     22.     17.     17.     16.      5.      6.      7.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.1     0.1     0.1     0.1     0.3     0.2     0.8     1.8     0.2     0.3     0.2     0.1     0.1     0.2     0.1     0.3     0.0
 2020 280   126    0.05    0.20    0.35     567    0.32    45.0   0.015   0.045   0.303   0.373     0.4     3.9     2.1    1776     3.7     154    0.11    0.15    3.58    1.41     0.0     0.1     0.1     0.1     0.1     0.3     0.2     0.9     1.8     23.     38.     23.     17.     18.     16.      6.      6.      7.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.1     0.1     0.1     0.1     0.3     0.2     0.9     1.8     0.2     0.3     0.2     0.1     0.1     0.2     0.1     0.3     0.0
 2020 281   127    0.05    0.20    0.35     569    0.32    45.1   0.015   0.045   0.307   0.375     0.4     3.7     2.0    1923     3.9     171    0.11    0.17    3.76    1.56     0.0     0.1     0.1     0.1     0.1     0.3     0.2     1.0     1.9     26.     42.     26.     19.     19.     18.      6.      6.      7.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.0     0.1     0.1     0.1     0.1     0.3     0.2     0.9     1.9     0.2     0.3     0.2     0.1     0.2     0.2     0.1     0.3     0.0
 2020 282   128    0.05    0.21    0.35     571    0.33    45.3   0.015   0.045   0.311   0.377     0.4     3.6     2.0    2014     4.0     185    0.12    0.18    3.91    1.66     0.1     0.1     0.1     0.1     0.2     0.3     0.2     1.0     2.0     28.     46.     28.     21.     21.     19.      7.      7.      8.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.1     0.3     0.2     0.9     1.9     0.2     0.3     0.2     0.2     0.2     0.2     0.1     0.3     0.0
 2020 283   129    0.05    0.21    0.36     574    0.33    45.5   0.015   0.046   0.315   0.379     0.4     3.5     2.0    2204     4.3     209    0.13    0.21    4.17    1.87     0.1     0.1     0.1     0.1     0.2     0.3     0.3     1.0     2.1     33.     53.     32.     24.     24.     22.      7.      7.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.2     0.3     0.3     1.0     2.0     0.2     0.4     0.2     0.2     0.2     0.2     0.1     0.3     0.0
 2020 284   130    0.06    0.21    0.36     576    0.33    45.7   0.015   0.046   0.319   0.380     0.4     3.4     1.9    2250     4.5     221    0.13    0.22    4.34    1.97     0.1     0.1     0.1     0.1     0.2     0.4     0.3     1.1     2.1     35.     56.     34.     25.     25.     23.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.2     0.4     0.3     1.0     2.1     0.3     0.4     0.2     0.2     0.2     0.2     0.1     0.3     0.0
 2020 285   131    0.06    0.22    0.36     578    0.34    46.0   0.015   0.046   0.324   0.382     0.4     3.4     1.9    2345     4.5     218    0.13    0.22    4.37    1.95     0.1     0.1     0.2     0.1     0.2     0.4     0.3     1.1     2.2     34.     55.     33.     24.     24.     22.      8.      7.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.2     0.4     0.3     1.0     2.1     0.3     0.4     0.2     0.2     0.2     0.2     0.1     0.3     0.0
 2020 286   132    0.06    0.22    0.36     581    0.34    46.2   0.015   0.046   0.328   0.384     0.4     3.3     1.9    2356     4.6     225    0.14    0.23    4.49    2.02     0.1     0.1     0.2     0.1     0.2     0.4     0.3     1.1     2.2     35.     57.     34.     26.     25.     23.      8.      8.      9.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.2     0.1     0.2     0.4     0.3     1.0     2.2     0.3     0.4     0.3     0.2     0.2     0.2     0.1     0.3     0.0
 2020 287   133    0.06    0.22    0.36     583    0.35    46.4   0.016   0.046   0.333   0.386     0.3     3.3     1.9    2183     4.5     201    0.13    0.20    4.33    1.84     0.1     0.1     0.2     0.1     0.2     0.4     0.3     1.1     2.1     31.     51.     31.     23.     23.     21.      7.      7.      8.     0.0     0.1     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.2     0.1     0.2     0.4     0.3     1.0     2.1     0.2     0.4     0.2     0.2     0.2     0.2     0.1     0.3     0.0
 2020 288   134    0.06    0.23    0.37     585    0.35    46.6   0.016   0.047   0.337   0.388     0.3     3.3     1.9    2072     4.2     179    0.13    0.18    4.11    1.66     0.1     0.1     0.1     0.1     0.2     0.3     0.3     1.0     2.0     27.     44.     27.     20.     20.     19.      6.      6.      8.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.2     0.3     0.2     0.9     2.0     0.2     0.3     0.2     0.2     0.2     0.2     0.1     0.3     0.0
 2020 289   135    0.06    0.23    0.37     587    0.36    46.7   0.016   0.047   0.341   0.390     0.3     3.2     1.9    1982     4.2     175    0.12    0.17    4.07    1.63     0.1     0.1     0.1     0.1     0.2     0.3     0.3     1.0     2.0     27.     43.     27.     20.     20.     19.      6.      6.      8.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.2     0.3     0.2     0.9     2.0     0.2     0.3     0.2     0.1     0.2     0.2     0.1     0.3     0.0
 2020 290   136    0.06    0.23    0.37     589    0.36    46.9   0.016   0.047   0.344   0.391     0.3     3.2     1.8    1771     3.8     144    0.11    0.14    3.71    1.38     0.1     0.1     0.1     0.1     0.1     0.3     0.2     0.9     1.8     21.     35.     22.     17.     17.     16.      5.      6.      7.     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.1     0.0     0.1     0.1     0.1     0.1     0.1     0.3     0.2     0.9     1.8     0.2     0.3     0.2     0.1     0.1     0.2     0.1     0.3     0.0

*DSSAT Cropping System Model Ver. 4.7.5.035 -develop  JUN 02, 2021 09:26:05

*RUN   2        : 20 RAINFED BRAGG          CRGRO047 UFGA7801    2
 MODEL          : CRGRO047 - Soybean
 EXPERIMENT     : UFGA7801 SB BRAGG, IRRIGATED & NON-IRRIGATED
 DATA PATH      :
 TREATMENT  2   : 20 RAINFED BRAGG          CRGRO047
  
!              |---------------------------------- Cumulative ---------------------------------|---------------------------------- Daily --------------------------------------|
!               N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO N2Oemit  N2emit  NOemit     CO2   Denit  Nitrif   N2O-denit+nit      N2      NO   Denitrification (g[N]/ha) by soil depth (cm):                           Nitrification (g[N]/ha) by soil depth (cm):                             N2O flux (g[N]/ha) by soil depth (cm):                                  N2 flux (g[N]/ha) by soil depth (cm):                                   NO flux (g[N]/ha) by soil depth (cm):
!                 kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha   kg/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha    g/ha     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180     0-5    5-15   15-30   30-45   45-60   60-90  90-120 120-150 150-180
@YEAR DOY   DAS   N2OEC    N2EC    NOEC   CO2TC    NDNC    NITC   N2ODC   N2ONC   N2FLC   NOFLC   N2OED    N2ED    NOED   CO2TD    NDND   NITRD   N2ODD   N2OND   N2FLD   NOFLD   NDN1D   NDN2D   NDN3D   NDN4D   NDN5D   NDN6D   NDN7D   NDN8D   NDN9D   NIT1D   NIT2D   NIT3D   NIT4D   NIT5D   NIT6D   NIT7D   NIT8D   NIT9D   N2O1D   N2O2D   N2O3D   N2O4D   N2O5D   N2O6D   N2O7D   N2O8D   N2O9D   N2F1D   N2F2D   N2F3D   N2F4D   N2F5D   N2F6D   N2F7D   N2F8D   N2F9D   NOF1D   NOF2D   NOF3D   NOF4D   NOF5D   NOF6D   NOF7D   NOF8D   NOF9D   
 2020 155     1    0.00    0.00    0.00       4    0.00     7.4   0.000   0.008   0.000   0.042     0.1     0.0     0.7    4335     0.0    7394    0.00    7.39    0.00   40.65     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    181.    390.    714.    714.    677.   1208.   1129.   1161.   1219.     0.2     0.4     0.7     0.7     0.7     1.2     1.1     1.2     1.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.3     2.8     5.0     5.0     4.7     8.7     7.9     4.9     0.4
 2020 156     2    0.00    0.00    0.00       8    0.00    11.5   0.000   0.012   0.000   0.069     0.2     0.0     1.5    4079     0.0    4064    0.00    4.06    0.00   27.15     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0    112.    228.    338.    333.    338.    641.    644.    678.    753.     0.1     0.2     0.3     0.3     0.3     0.6     0.6     0.7     0.8     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     1.0     2.1     2.9     2.9     2.9     5.8     5.6     3.6     0.3
 2020 157     3    0.00    0.00    0.00      12    0.00    13.8   0.000   0.014   0.000   0.081     0.3     0.0     2.0    3859     0.0    2324    0.00    2.32    0.00   12.11     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     75.    145.    172.    165.    177.    348.    372.    400.    469.     0.1     0.1     0.2     0.2     0.2     0.3     0.4     0.4     0.5     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.6     1.0     1.2     1.1     1.2     2.5     2.6     1.7     0.1
 2020 158     4    0.00    0.00    0.01      16    0.00    15.2   0.000   0.015   0.000   0.089     0.3     0.0     2.5    3684     0.0    1435    0.00    1.43    0.00    7.40     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     57.    106.    103.     94.    104.    201.    222.    246.    302.     0.1     0.1     0.1     0.1     0.1     0.2     0.2     0.2     0.3     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.4     0.8     0.7     0.7     0.7     1.4     1.6     1.0     0.1
 2020 159     5    0.00    0.00    0.01      19    0.00    16.1   0.000   0.016   0.000   0.093     0.4     0.0     2.9    3472     0.0     909    0.00    0.91    0.00    4.71     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     43.     82.     68.     58.     65.    119.    133.    149.    192.     0.0     0.1     0.1     0.1     0.1     0.1     0.1     0.1     0.2     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.6     0.5     0.4     0.4     0.9     0.9     0.6     0.1
 2020 160     6    0.00    0.00    0.01      23    0.00    16.7   0.000   0.017   0.000   0.097     0.4     0.0     3.3    3344     0.0     612    0.00    0.61    0.00    3.25     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     36.     69.     52.     42.     46.     75.     80.     91.    123.     0.0     0.1     0.1     0.0     0.0     0.1     0.1     0.1     0.1     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.0     0.3     0.5     0.4     0.3     0.3     0.5     0.6     0.4     0.0
